职位名称,公司名,薪资,城市,基本要求,福利待遇
c++软件工程师,CLINX 勤翔仪器,20-30k·15薪,上海-宝山区,本科及以上 | 5-10年 | 语言不限 | 年龄不限,
C++软件工程师/专家（自动驾驶）,国汽智控(北京)科技有限公司,15-35k,上海-徐汇区,统招本科 | 3-5年 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 领导好 | 发展空间大 | 技能培训 | 弹性工作 | 带薪年假 | 子女福利 | 定期体检
c++开发工程师,广州市品高软件股份有限公司,15-20k·13薪,北京-太平桥,本科及以上 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 交通补助 | 通讯津贴 | 发展空间大 | 扁平管理 | 管理规范 | 岗位晋升 | 带薪年假
c++软件工程师,北京蔚领时代科技有限公司,15-30k·13薪,北京,统招本科 | 3-5年 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 餐费补贴 | 领导好 | 发展空间大 | 弹性工作 | 带薪年假 | 团队聚餐 | 休闲餐点 | 节日礼物
C++开发工程师,卡莱特云科技股份有限公司,12-24k·16薪,深圳-南山区,统招本科 | 经验不限 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 发展空间大 | 带薪年假
C++开发,卡莱特云科技股份有限公司,12-26k·16薪,深圳-南山区,本科及以上 | 经验不限 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 发展空间大 | 带薪年假
C++图形工程师,中微电科技,13-26k,深圳-南山区,本科及以上 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 股票期权 | 绩效奖金 | 五险一金 | 交通补助 | 餐费补贴 | 弹性工作 | 年度旅游 | 团队聚餐 | 节日礼物
高级软件工程师（3D图像、C++）,立仪科技,15-25k·13薪,深圳-龙岗区,大专及以上 | 3-5年 | 语言不限 | 年龄不限,年终奖金 | 绩效奖金 | 五险一金 | 交通补助 | 住房补贴 | 领导好 | 发展空间大 | 节日礼物 | 优秀员工奖 | 定期体检
c++高级开发工程师,银马科技,30-60k·14薪,上海,本科及以上 | 5-10年 | 语言不限 | 年龄不限,年终奖金 | 股票期权 | 绩效奖金 | 五险一金 | 交通补助 | 发展空间大 | 扁平管理 | 岗位晋升 | 弹性工作 | 带薪年假
c++软件开发工程师,银马科技,15-30k·13薪,上海,大专及以上 | 3-5年 | 语言不限 | 年龄不限,年终奖金 | 股票期权 | 绩效奖金 | 五险一金 | 交通补助 | 发展空间大 | 扁平管理 | 岗位晋升 | 弹性工作 | 带薪年假
C++高级软件工程师,杭州百子尖科技股份有限公司,15-25k·14薪,杭州-余杭区,本科及以上 | 5-10年 | 语言不限 | 年龄不限,绩效奖金 | 定期体检 | 五险一金 | 带薪年假
C/C++工程师,明朝万达,12-25k,北京,统招本科 | 3-5年 | 语言不限 | 年龄不限,上市公司 | 专精特新企业 | 年底双薪 | 带薪年假 | 定期体检 | 节日礼物 | 管理规范 | 五险一金 | 股票期权 | 发展空间大
C/C++开发工程师(边缘智能产品方向),中科视语(北京)科技有限公司,20-40k,北京,硕士及以上 | 3-5年 | 语言不限 | 年龄不限,年底双薪 | 弹性工作 | 带薪年假 | 扁平管理 | 领导好 | 五险一金 | 发展空间大
c++开发工程师,石头世纪,20-35k·16薪,北京-清河,统招本科 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 领导好 | 发展空间大 | 公司规模大 | 弹性工作 | 带薪年假 | 子女福利 | 节日礼物
c++开发工程师,石头世纪,20-35k·16薪,上海-浦东新区,统招本科 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 领导好 | 发展空间大 | 公司规模大 | 弹性工作 | 带薪年假 | 子女福利 | 节日礼物
服务器C/C++工程师,深圳市中瑞科电子有限公司,8-15k,深圳-罗湖区,本科及以上 | 1-3年 | 语言不限 | 年龄不限,领导好 | 技能培训 | 岗位晋升 | 发展空间大
C++开发工程师（算法实现）,厦门瑞盛鼎诚信息技术服务有限公司,25-40k,深圳-科技园,大专及以上 | 3-5年 | 语言不限 | 年龄不限,绩效奖金 | 领导好 | 发展空间大 | 扁平管理 | 技能培训 | 弹性工作 | 休闲餐点
C++QT软件开发工程师,创景,10-21k,西安-高新区,本科及以上 | 经验不限 | 语言不限 | 年龄不限,国家高新技术企业认定 | 带薪年假 | 午餐补助 | 定期体检 | 节日礼物 | 五险一金 | 生育补贴 | 子女福利
c++开发工程师（Linux平台）,上海顽岩资产管理有限公司,25-50k·14薪,上海,统招本科 | 1-3年 | 普通话 | 年龄不限,五险一金 | 带薪年假 | 年度旅游 | 节日礼物 | 定期体检
c++高级工程师,上海靖戈智能科技有限公司,19-38k·16薪,上海-浦东新区,本科及以上 | 5-10年 | 语言不限 | 年龄不限,年终奖金 | 绩效奖金 | 五险一金 | 餐费补贴 | 领导好 | 发展空间大 | 带薪年假 | 年度旅游 | 休闲餐点 | 定期体检
C++开发工程师,成都爱科特科技发展有限公司,10-20k·14薪,成都-青羊区,本科及以上 | 3-5年 | 语言不限 | 年龄不限,年终奖金 | 全勤奖 | 五险一金 | 发展空间大 | 公司规模大
C++开发工程师-北京-00040,大众问问(北京)信息科技有限公司,20-35k·15薪,北京-北下关,统招本科 | 5-10年 | 语言不限 | 年龄不限,福利完善
高级C++工程师,麦风科技,18-25k·14薪,深圳-南山区,本科及以上 | 5-10年 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 领导好 | 发展空间大 | 扁平管理 | 技能培训 | 岗位晋升 | 年度旅游 | 周末双休
c++客户端工程师,麦风科技,12-16k·14薪,深圳-南山区,统招本科 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 领导好 | 发展空间大 | 扁平管理 | 技能培训 | 岗位晋升 | 年度旅游 | 周末双休
c++开发工程师 (MJ000050),杭州笨马网络技术有限公司,20-40k,杭州-余杭区,本科及以上 | 3-5年 | 语言不限 | 年龄不限,年终奖金 | 股票期权 | 五险一金 | 领导好 | 发展空间大 | 扁平管理 | 带薪年假 | 定期体检
C/C++开发工程师,银宝山新科技,15-18k,深圳-宝安区,大专及以上 | 3-5年 | 语言不限 | 年龄不限,上市公司 | 五险一金 | 餐费补贴 | 发展空间大 | 公司规模大 | 管理规范 | 带薪年假 | 节日礼物 | 定期体检
c++软件工程师,创意信息,15-25k,福州-鼓楼区,本科及以上 | 3-5年 | 语言不限 | 年龄不限,上市公司 | 带薪年假 | 弹性工作 | 扁平管理 | 五险一金
c++开发工程师,安几科技,20-35k·13薪,上海-徐汇区,统招本科 | 5-10年 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 提供住宿 | 领导好 | 发展空间大 | 技能培训 | 弹性工作 | 带薪年假 | 团队聚餐 | 节日礼物
QT/C++后台开发工程师,江苏中协智能科技有限公司,10-20k,南京-雨花台区,本科及以上 | 3-5年 | 语言不限 | 年龄不限,带薪年假 | 节日礼物 | 五险一金 | 全勤奖 | 领导好 | 发展空间大 | 优秀员工奖
c++开发工程师,银科控股,20-35k,深圳-福田区,统招本科 | 3-5年 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 生育补贴 | 餐费补贴 | 领导好 | 节日礼物 | 优秀员工奖 | 定期体检
C++软件工程师（激光）,海目星科技,8-13k·13薪,深圳-龙岗区,大专及以上 | 1-3年 | 语言不限 | 年龄不限,发展空间大 | 带薪年假 | 节日礼物 | 五险一金 | 公司规模大
c++软件开发工程师,江西省智能产业技术创新研究院,10-25k,南昌-南昌县,本科及以上 | 1-3年 | 语言不限 | 年龄不限,绩效奖金 | 带薪年假 | 午餐补助 | 定期体检 | 年度旅游 | 五险一金 | 发展空间大 | 优秀员工奖 | 周末双休
c++软件工程师,四川弘和集团,15-25k,成都,本科及以上 | 1-3年 | 语言不限 | 年龄不限,午餐补助 | 带薪年假 | 交通补助 | 通讯津贴 | 节日礼物 | 发展空间大
c++软件工程师,四川弘和集团,15-25k,成都,本科及以上 | 1-3年 | 语言不限 | 年龄不限,午餐补助 | 带薪年假 | 交通补助 | 通讯津贴 | 节日礼物 | 发展空间大
c++软件工程师（一体化产品）,威创视讯,12-18k·15薪,广州,统招本科 | 3-5年 | 语言不限 | 年龄不限,上市公司 | 年终奖金 | 绩效奖金 | 五险一金 | 免费班车 | 提供住宿 | 餐费补贴 | 弹性工作 | 带薪年假 | 节日礼物 | 定期体检
c++软件工程师（传控产品）,威创视讯,12-18k·15薪,广州,统招本科 | 3-5年 | 语言不限 | 年龄不限,上市公司 | 年终奖金 | 绩效奖金 | 五险一金 | 免费班车 | 提供住宿 | 餐费补贴 | 弹性工作 | 带薪年假 | 节日礼物 | 定期体检
高级C++游戏开发工程师,武汉市多比特信息科技有限公司,15-25k·13薪,广州-天河区,统招本科 | 5-10年 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 交通补助 | 领导好 | 团队聚餐 | 节日礼物 | 定期体检
C++游戏开发主程,武汉市多比特信息科技有限公司,20-35k·13薪,广州-天河区,统招本科 | 5-10年 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 交通补助 | 领导好 | 团队聚餐 | 节日礼物 | 定期体检
C++工程师/高级工程师,车联天下智能网联(无锡)信息科技有限公司,20-30k,上海-闵行区,统招本科 | 5-10年 | 语言不限 | 年龄不限,发展空间大 | 扁平管理 | 弹性工作
Qt/C++软件开发工程师,上海瑞柯恩激光技术有限公司,15-20k·13薪,上海-曹路,本科及以上 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 绩效奖金 | 五险一金 | 餐费补贴 | 带薪年假 | 团队聚餐 | 休闲餐点 | 节日礼物 | 定期体检
软件工程师(Java/C++等语言可转),慧咨环球,12-22k·13薪,南京,本科及以上 | 3-5年 | 语言不限 | 年龄不限,五险一金 | 通讯津贴 | 扁平管理 | 管理规范 | 弹性工作 | 带薪年假 | 节日礼物 | 年底双薪 | 午餐补助 | 上市公司
c++工程师,深圳鲲云科技,16-30k,深圳-福田区,统招本科 | 1-3年 | 语言不限 | 25-35岁,五险一金 | 发展空间大 | 岗位晋升 | 带薪年假 | 优秀员工奖
Linux C/C++ 软件工程师,傲睿智存,15-30k,深圳,本科及以上 | 1-3年 | 语言不限 | 年龄不限,股票期权 | 五险一金 | 弹性工作 | 带薪年假 | 休闲餐点 | 双休
上位机软件工程师(C++/C#),深圳天顺智慧能源科技有限公司,11-22k·13薪,北京-朝阳区,本科及以上 | 5-10年 | 语言不限 | 年龄不限,年终奖金 | 绩效奖金 | 五险一金 | 餐费补贴 | 带薪年假 | 年度旅游
C++软件开发工程师,上海思勰投资管理有限公司,15-45k,上海-浦东新区,统招本科 | 经验不限 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 扁平管理 | 带薪年假 | 休闲餐点 | 定期体检 | 午餐补助
机器视觉软件工程师(c++),深圳市霍克视觉科技有限公司,15-25k,深圳-宝安区,本科及以上 | 3-5年 | 语言不限 | 年龄不限,年底双薪 | 绩效奖金 | 带薪年假 | 弹性工作 | 年度旅游 | 扁平管理 | 五险一金 | 团队聚餐 | 领导好 | 发展空间大
软件开发工程师（C/C++）,成都爱瑞无线科技有限公司,12-22k,成都-高新区,统招本科 | 3-5年 | 语言不限 | 年龄不限,年终奖金 | 股票期权 | 五险一金 | 交通补助 | 发展空间大 | 弹性工作 | 带薪年假 | 节日礼物 | 定期体检
c++高级开发工程师,深圳顺丰泰森控股(集团)有限公司,18-30k·13薪,深圳-科技园,本科及以上 | 3-5年 | 语言不限 | 年龄不限,2019中国企业500强 | 2019服务业500强 | 发展快 | 空间大 | 前景好
C++开发工程师,科大讯飞,15-20k·14薪,北京-海淀区,统招本科 | 3-5年 | 语言不限 | 年龄不限,上市公司 | AI创新成长50强  | 2019年中国互联网企业100强 | 2019人工智能100强 | 互联网300强 | 绩效奖金 | 五险一金 | 交通补助 | 通讯津贴 | 公司规模大 | 管理规范 | 带薪年假
c++软件工程师,合肥创发微电子有限公司,9-17k·14薪,合肥-高新区,本科及以上 | 3-5年 | 语言不限 | 年龄不限,年底双薪 | 带薪年假 | 节日礼物 | 岗位晋升 | 五险一金 | 领导好 | 发展空间大
c++高级开发工程师,国以贤智能科技(上海)股份有限公司,15-25k·13薪,上海-松江区,本科及以上 | 3-5年 | 语言不限 | 年龄不限,年终奖金 | 绩效奖金 | 五险一金 | 提供住宿 | 领导好 | 发展空间大 | 公司规模大 | 扁平管理 | 管理规范 | 带薪年假
嵌入式软件开发（C++）,国以贤智能科技(上海)股份有限公司,15-20k·13薪,上海-松江区,大专及以上 | 经验不限 | 语言不限 | 年龄不限,年终奖金 | 绩效奖金 | 五险一金 | 提供住宿 | 领导好 | 发展空间大 | 公司规模大 | 扁平管理 | 管理规范 | 带薪年假
c++软件工程师,合肥中科离子医学技术装备有限公司,12-20k,合肥-高新区,统招本科 | 1-3年 | 语言不限 | 年龄不限,绩效奖金 | 带薪年假 | 通讯津贴 | 定期体检 | 节日礼物 | 免费班车 | 五险一金
C/C++高级开发工程师-财富经纪,恒生电子,20-25k·15薪,杭州,统招本科 | 3-5年 | 语言不限 | 年龄不限,上市公司 | 年终奖金 | 交通补助 | 免费班车 | 餐费补贴 | 发展空间大 | 弹性工作 | 团队聚餐 | 节日礼物 | 定期体检
c++服务器开发工程师,不鸣科技,20-40k·15薪,杭州-西溪,本科及以上 | 3-5年 | 语言不限 | 年龄不限,
中级C++工程师,神州融安科技(北京)有限公司,15-25k·13薪,北京,本科及以上 | 3-5年 | 语言不限 | 年龄不限,年终奖金 | 绩效奖金 | 五险一金 | 餐费补贴 | 加班补贴 | 发展空间大 | 扁平管理 | 管理规范 | 带薪年假 | 定期体检
初级C++工程师,神州融安科技(北京)有限公司,10-20k·13薪,北京,本科及以上 | 经验不限 | 语言不限 | 年龄不限,年终奖金 | 绩效奖金 | 五险一金 | 餐费补贴 | 加班补贴 | 发展空间大 | 扁平管理 | 管理规范 | 带薪年假 | 定期体检
C/C++软件工程师,御芯微科技,13-18k,重庆-虎溪,本科及以上 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 股票期权 | 五险一金 | 提供住宿 | 领导好 | 发展空间大 | 扁平管理 | 技能培训 | 岗位晋升 | 弹性工作
高级C++开发工程师（交通大脑）,中控信息,12-20k,杭州-滨江区,本科及以上 | 3-5年 | 语言不限 | 年龄不限,绩效奖金 | 带薪年假 | 交通补助 | 通讯津贴 | 定期体检 | 年度旅游 | 五险一金 | 发展空间大
高级开发工程师（Java/C++/go）,滴普科技,25-35k,北京-中关村,统招本科 | 3-5年 | 语言不限 | 年龄不限,扁平管理 | 弹性工作 | 定期体检
C/C++嵌入式系统软件工程师,炬星科技(深圳)有限公司,20-35k,深圳-南山区,统招本科 | 3-5年 | 语言不限 | 年龄不限,带薪年假 | 弹性工作 | 扁平管理 | 五险一金 | 岗位晋升 | 发展空间大
C++,中科搏锐(北京)科技有限公司,16-25k,北京-丰台区,统招本科 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 绩效奖金 | 全勤奖 | 五险一金 | 餐费补贴 | 定期体检
C++高级开发工程师,滴普科技,20-40k,北京-海淀区,本科及以上 | 3-5年 | 语言不限 | 年龄不限,年终奖金 | 股票期权 | 五险一金 | 领导好 | 发展空间大 | 带薪年假 | 年底双薪
数据库工程师（C++）,东方电子股份有限公司,面议,烟台-芝罘区,统招本科 | 1-3年 | 语言不限 | 年龄不限,上市公司 | 带薪年假 | 交通补助 | 午餐补助 | 技能培训 | 岗位晋升 | 五险一金 | 上市公司 | 节日礼物 | 定期体检 | 绩效奖金
ROS(C++)（北斗立方）,山东产业技术研究院,10-15k,济南-高新区,学历不限 | 1-3年 | 语言不限 | 年龄不限,五险一金 | 提供住宿 | 生育补贴 | 发展空间大 | 公司规模大 | 带薪年假 | 定期体检
C/C++开发工程师,上海东方传媒技术有限公司,面议,上海,本科及以上 | 3-5年 | 语言不限 | 年龄不限,绩效奖金 | 带薪年假 | 午餐补助 | 定期体检 | 弹性工作 | 节日礼物 | 技能培训 | 岗位晋升 | 五险一金 | 公司规模大
c++,青岛汇安谷科技发展有限公司,15-25k,青岛-城阳区,统招本科 | 经验不限 | 语言不限 | 年龄不限,年终奖金 | 股票期权 | 五险一金 | 交通补助
C/C++高级开发工程师,经纬恒润,30-50k,上海-徐汇区,本科及以上 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 发展空间大 | 岗位晋升 | 弹性工作
软件架构师（C++）,梅卡曼德(北京)机器人科技有限公司,30-50k·14薪,北京,统招本科 | 经验不限 | 语言不限 | 20-40岁,交通补助 | 午餐补助 | 弹性工作 | 扁平管理 | 五险一金
C++渲染引擎工程师（高级工程师）,深圳市昇利扬科技有限公司,15-30k·13薪,成都-高新区,统招本科 | 5-10年 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 带薪年假 | 年度旅游 | 年终分红
C++渲染引擎工程师（高级工程师）,深圳市昇利扬科技有限公司,18-30k·13薪,深圳-龙华区,统招本科 | 3-5年 | 语言不限 | 年龄不限,五险一金 | 领导好 | 发展空间大 | 岗位晋升 | 团队聚餐
C++格式引擎工程师(中高级),深圳市昇利扬科技有限公司,15-30k·13薪,厦门-莲花,统招本科 | 3-5年 | 语言不限 | 年龄不限,五险一金 | 领导好 | 发展空间大 | 岗位晋升 | 团队聚餐
C++格式引擎工程师(中高级),深圳市昇利扬科技有限公司,15-30k·13薪,深圳-龙华区,本科及以上 | 3-5年 | 语言不限 | 年龄不限,五险一金 | 领导好 | 发展空间大 | 岗位晋升 | 团队聚餐
C++/C#开发工程师,上海宝宏软件有限公司,7-15k·13薪,上海-张江,大专及以上 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 带薪年假 | 优秀员工奖 | 定期体检
c++服务器工程师,上海奇技电脑技术有限公司,7-12k,上海-漕河泾,大专及以上 | 3-5年 | 语言不限 | 年龄不限,五险一金
c++软件工程师,瞬已网络科技(上海)有限公司,15-25k·13薪,上海-塘桥,本科及以上 | 1-3年 | 语言不限 | 年龄不限,绩效奖金 | 五险一金 | 交通补助 | 餐费补贴 | 加班补贴 | 领导好 | 发展空间大 | 岗位晋升 | 带薪年假
c++开发工程师,越亮传奇,10-12k·13薪,深圳,大专及以上 | 1-3年 | 语言不限 | 年龄不限,带薪年假 | 通讯津贴 | 午餐补助 | 定期体检 | 弹性工作 | 节日礼物 | 管理规范 | 五险一金 | 子女福利 | 公司规模大
C++ RPC研发负责人,字节跳动,30-50k,北京-海淀区,本科及以上 | 5-10年 | 语言不限 | 年龄不限,2018全球人工智能百强 | 2018中国出海品牌30强 | 下午茶 | 健身瑜伽 | 六险一金 | 五险一金 | 股票期权 | 团队氛围好 | 晋升空间大 | 带薪休假 | 扁平管理 | 用户过亿 | 大牛带队 | 餐补 | 免费三餐 | 薪资优厚 | 弹性工作 | 租房补贴
PC/C++开发工程师,海谱纳米光学,15-25k·15薪,深圳,本科及以上 | 3-5年 | 语言不限 | 年龄不限,年终奖金 | 股票期权 | 绩效奖金 | 五险一金 | 带薪年假 | 定期体检
C++网络编程工程师,北京领为军融科技有限公司,20-30k·14薪,北京-清源,本科及以上 | 3-5年 | 语言不限 | 年龄不限,年终奖金 | 股票期权 | 五险一金 | 交通补助 | 提供住宿 | 餐费补贴 | 领导好 | 发展空间大 | 岗位晋升 | 带薪年假
C++资深软件工程师,中科超精,面议,南京-浦口区,本科及以上 | 5-10年 | 语言不限 | 年龄不限,绩效奖金 | 带薪年假 | 交通补助 | 通讯津贴 | 午餐补助 | 定期体检 | 扁平管理 | 五险一金 | 领导好 | 发展空间大
C++系统高级架构工程师,中科超精,面议,南京-浦口区,本科及以上 | 10年以上 | 语言不限 | 年龄不限,绩效奖金 | 带薪年假 | 交通补助 | 通讯津贴 | 午餐补助 | 定期体检 | 扁平管理 | 五险一金 | 领导好 | 发展空间大
Go/C++后台开发工程师,腾讯,15-25k·14薪,深圳-南山区,本科及以上 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 绩效奖金 | 五险一金 | 免费班车 | 住房补贴 | 公司规模大 | 带薪年假 | 年度旅游 | 节日礼物 | 定期体检
c++软件工程师,博盛医疗,15-20k,深圳-科技园,本科及以上 | 3-5年 | 语言不限 | 年龄不限,年终奖金 | 股票期权 | 绩效奖金 | 五险一金 | 扁平管理 | 管理规范 | 带薪年假 | 优秀员工奖
C++QT软件工程师,创景,15-30k,上海-浦东新区,统招本科 | 经验不限 | 语言不限 | 年龄不限,国家高新技术企业认定 | 五险一金 | 午餐补助 | 定期体检 | 节日礼物 | 交通补助
C++/C#日语实习生,上海宝宏软件有限公司,7-12k·13薪,上海-张江,本科及以上 | 经验不限 | 日语 | 年龄不限,年终奖金 | 五险一金 | 技能培训 | 弹性工作 | 定期体检 | 年底双薪
C++/C#开发工程师,上海宝宏软件有限公司,7-12k·13薪,上海-张江,本科及以上 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 技能培训 | 弹性工作 | 定期体检 | 年底双薪
c++高级工程师,威灿科技,15-25k,杭州-滨江区,本科及以上 | 5-10年 | 语言不限 | 年龄不限,年终奖金 | 全勤奖 | 五险一金 | 带薪年假 | 年度旅游 | 团队聚餐 | 节日礼物 | 定期体检
